bye2019-09-09 13:13:46,379  INFO [TestNG-tests-1] nopCommerceV123:19 - ********* Opening URL *************
2019-09-10 11:32:31,653  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* starting TC_LoginTest_002 *************
2019-09-10 11:32:31,667  INFO [TestNG-tests-1] nopCommerceV123:22 - ********* Opening URL *************
2019-09-10 11:32:34,620  INFO [TestNG-tests-1] nopCommerceV123:27 - ********* Providing Login Details *************
2019-09-10 11:32:36,899  INFO [TestNG-tests-1] nopCommerceV123:32 - ********* Validating login with valid Credential *************
2019-09-10 11:32:37,355  INFO [TestNG-tests-1] nopCommerceV123:45 - ********* Login Test Is Failed *************
2019-09-10 11:32:37,364  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* starting TC_LoginTest_002 *************
2019-09-10 11:32:37,365  INFO [TestNG-tests-1] nopCommerceV123:22 - ********* Opening URL *************
2019-09-10 11:32:38,798  INFO [TestNG-tests-1] nopCommerceV123:27 - ********* Providing Login Details *************
2019-09-10 11:32:38,898  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* starting TC_LoginTest_002 *************
2019-09-10 11:32:38,898  INFO [TestNG-tests-1] nopCommerceV123:22 - ********* Opening URL *************
2019-09-10 11:32:40,171  INFO [TestNG-tests-1] nopCommerceV123:27 - ********* Providing Login Details *************
2019-09-10 11:32:40,247  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* starting TC_LoginTest_002 *************
2019-09-10 11:32:40,248  INFO [TestNG-tests-1] nopCommerceV123:22 - ********* Opening URL *************
2019-09-10 11:32:41,468  INFO [TestNG-tests-1] nopCommerceV123:27 - ********* Providing Login Details *************
2019-09-10 11:34:15,803  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 11:34:15,805  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 11:34:19,011  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 11:34:21,550  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 11:34:21,986  INFO [TestNG-tests-1] nopCommerceV123:43 - ********* Login Test Is Failed *************
2019-09-10 11:34:25,908  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* starting TC_LoginTest_002 *************
2019-09-10 11:34:25,910  INFO [TestNG-tests-1] nopCommerceV123:22 - ********* Opening URL *************
2019-09-10 11:34:29,085  INFO [TestNG-tests-1] nopCommerceV123:27 - ********* Providing Login Details *************
2019-09-10 11:34:36,268  INFO [TestNG-tests-1] nopCommerceV123:34 - ********* Validating login with valid Credential *************
2019-09-10 11:34:36,290  INFO [TestNG-tests-1] nopCommerceV123:40 - ********* Login Test Is Passed *************
2019-09-10 11:34:37,562  INFO [TestNG-tests-1] nopCommerceV123:51 - ********* Login Test is Finished *************
2019-09-10 11:34:37,563  INFO [TestNG-tests-1] nopCommerceV123:52 - ********* Finish TC_LoginTest_002 *************
2019-09-10 11:34:37,569  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* starting TC_LoginTest_002 *************
2019-09-10 11:34:37,570  INFO [TestNG-tests-1] nopCommerceV123:22 - ********* Opening URL *************
2019-09-10 11:34:38,206  INFO [TestNG-tests-1] nopCommerceV123:27 - ********* Providing Login Details *************
2019-09-10 11:34:43,777  INFO [TestNG-tests-1] nopCommerceV123:34 - ********* Validating login with valid Credential *************
2019-09-10 11:34:44,260  INFO [TestNG-tests-1] nopCommerceV123:47 - ********* Login Test Is Failed *************
2019-09-10 11:34:44,266  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* starting TC_LoginTest_002 *************
2019-09-10 11:34:44,267  INFO [TestNG-tests-1] nopCommerceV123:22 - ********* Opening URL *************
2019-09-10 11:34:44,912  INFO [TestNG-tests-1] nopCommerceV123:27 - ********* Providing Login Details *************
2019-09-10 11:34:50,549  INFO [TestNG-tests-1] nopCommerceV123:34 - ********* Validating login with valid Credential *************
2019-09-10 11:34:50,927  INFO [TestNG-tests-1] nopCommerceV123:47 - ********* Login Test Is Failed *************
2019-09-10 11:34:50,933  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* starting TC_LoginTest_002 *************
2019-09-10 11:34:50,933  INFO [TestNG-tests-1] nopCommerceV123:22 - ********* Opening URL *************
2019-09-10 11:34:51,568  INFO [TestNG-tests-1] nopCommerceV123:27 - ********* Providing Login Details *************
2019-09-10 11:34:57,109  INFO [TestNG-tests-1] nopCommerceV123:34 - ********* Validating login with valid Credential *************
2019-09-10 11:34:57,500  INFO [TestNG-tests-1] nopCommerceV123:47 - ********* Login Test Is Failed *************
2019-09-10 12:50:09,469  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 12:50:09,488  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 12:50:12,188  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 12:50:15,148  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 12:50:15,598  INFO [TestNG-tests-1] nopCommerceV123:43 - ********* Login Test Is Failed *************
2019-09-10 12:55:22,142  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 12:55:22,146  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 12:55:25,106  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 12:55:27,572  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 12:55:28,100  INFO [TestNG-tests-1] nopCommerceV123:43 - ********* Login Test Is Failed *************
2019-09-10 12:58:40,082  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 12:58:40,086  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 12:58:43,132  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 12:58:45,579  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 12:58:46,019  INFO [TestNG-tests-1] nopCommerceV123:43 - ********* Login Test Is Failed *************
2019-09-10 12:59:30,019  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 12:59:30,022  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 12:59:32,969  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 12:59:35,798  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 12:59:35,819  INFO [TestNG-tests-1] nopCommerceV123:37 - ********* Login Test Is Passed *************
2019-09-10 12:59:35,822  INFO [TestNG-tests-1] nopCommerceV123:47 - ********* Login Test is Finished *************
2019-09-10 12:59:35,823  INFO [TestNG-tests-1] nopCommerceV123:48 - ********* Finish TC_LoginTest_001 *************
2019-09-10 13:01:20,447  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 13:01:20,450  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 13:01:24,248  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 13:01:27,431  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 13:01:27,451  INFO [TestNG-tests-1] nopCommerceV123:37 - ********* Login Test Is Passed *************
2019-09-10 13:01:27,455  INFO [TestNG-tests-1] nopCommerceV123:47 - ********* Login Test is Finished *************
2019-09-10 13:01:27,456  INFO [TestNG-tests-1] nopCommerceV123:48 - ********* Finish TC_LoginTest_001 *************
2019-09-10 13:03:56,514  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 13:03:56,516  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 13:04:00,989  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 13:04:03,882  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 13:04:03,928  INFO [TestNG-tests-1] nopCommerceV123:37 - ********* Login Test Is Passed *************
2019-09-10 13:04:03,930  INFO [TestNG-tests-1] nopCommerceV123:47 - ********* Login Test is Finished *************
2019-09-10 13:04:03,930  INFO [TestNG-tests-1] nopCommerceV123:48 - ********* Finish TC_LoginTest_001 *************
2019-09-10 13:05:27,891  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 13:05:27,893  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 13:05:30,941  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 13:05:34,841  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 13:05:34,851  INFO [TestNG-tests-1] nopCommerceV123:37 - ********* Login Test Is Passed *************
2019-09-10 13:05:34,855  INFO [TestNG-tests-1] nopCommerceV123:47 - ********* Login Test is Finished *************
2019-09-10 13:05:34,856  INFO [TestNG-tests-1] nopCommerceV123:48 - ********* Finish TC_LoginTest_001 *************
2019-09-10 13:06:57,663  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 13:06:57,667  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 13:07:00,578  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 13:07:03,681  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 13:07:03,720  INFO [TestNG-tests-1] nopCommerceV123:37 - ********* Login Test Is Passed *************
2019-09-10 13:07:03,722  INFO [TestNG-tests-1] nopCommerceV123:47 - ********* Login Test is Finished *************
2019-09-10 13:07:03,722  INFO [TestNG-tests-1] nopCommerceV123:48 - ********* Finish TC_LoginTest_001 *************
2019-09-10 13:09:24,186  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 13:09:24,189  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 13:09:27,077  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 13:09:30,286  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 13:09:30,377  INFO [TestNG-tests-1] nopCommerceV123:37 - ********* Login Test Is Passed *************
2019-09-10 13:09:30,380  INFO [TestNG-tests-1] nopCommerceV123:47 - ********* Login Test is Finished *************
2019-09-10 13:09:30,380  INFO [TestNG-tests-1] nopCommerceV123:48 - ********* Finish TC_LoginTest_001 *************
2019-09-10 13:09:31,240 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/v3-html-index.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,242 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/v3-html-index_en.ftl"): Not found
2019-09-10 13:09:31,245 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/v3-html-index.ftl"): Found
2019-09-10 13:09:31,245 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/v3-html-index.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/v3-html-index.ftl"
2019-09-10 13:09:31,475 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/v3-html-head.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,476 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/v3-html-head_en.ftl"): Not found
2019-09-10 13:09:31,477 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/v3-html-head.ftl"): Found
2019-09-10 13:09:31,478 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/v3-html-head.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/v3-html-head.ftl"
2019-09-10 13:09:31,495 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/v3-html-nav.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,497 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/v3-html-nav_en.ftl"): Not found
2019-09-10 13:09:31,503 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/v3-html-nav.ftl"): Found
2019-09-10 13:09:31,504 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/v3-html-nav.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/v3-html-nav.ftl"
2019-09-10 13:09:31,525 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/test-view/v3-html-test-view.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,527 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/test-view/v3-html-test-view_en.ftl"): Not found
2019-09-10 13:09:31,528 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/test-view/v3-html-test-view.ftl"): Found
2019-09-10 13:09:31,529 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/test-view/v3-html-test-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/test-view/v3-html-test-view.ftl"
2019-09-10 13:09:31,548 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/test-view/v3-html-test-view-charts.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,549 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/test-view/v3-html-test-view-charts_en.ftl"): Not found
2019-09-10 13:09:31,550 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/test-view/v3-html-test-view-charts.ftl"): Found
2019-09-10 13:09:31,550 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/test-view/v3-html-test-view-charts.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/test-view/v3-html-test-view-charts.ftl"
2019-09-10 13:09:31,576 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,578 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/test-view/v3-html-standard_en.ftl"): Not found
2019-09-10 13:09:31,579 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/test-view/v3-html-standard.ftl"): Found
2019-09-10 13:09:31,579 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/test-view/v3-html-standard.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/test-view/v3-html-standard.ftl"
2019-09-10 13:09:31,617 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/category-view/v3-html-category-view.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,619 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/category-view/v3-html-category-view_en.ftl"): Not found
2019-09-10 13:09:31,621 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/category-view/v3-html-category-view.ftl"): Found
2019-09-10 13:09:31,622 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/category-view/v3-html-category-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/category-view/v3-html-category-view.ftl"
2019-09-10 13:09:31,657 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/exception-view/v3-html-exception-view.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,665 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/exception-view/v3-html-exception-view_en.ftl"): Not found
2019-09-10 13:09:31,666 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/exception-view/v3-html-exception-view.ftl"): Found
2019-09-10 13:09:31,667 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/exception-view/v3-html-exception-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/exception-view/v3-html-exception-view.ftl"
2019-09-10 13:09:31,680 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/author-view/v3-html-author-view.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,684 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/author-view/v3-html-author-view_en.ftl"): Not found
2019-09-10 13:09:31,686 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/author-view/v3-html-author-view.ftl"): Found
2019-09-10 13:09:31,691 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/author-view/v3-html-author-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/author-view/v3-html-author-view.ftl"
2019-09-10 13:09:31,700 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/dashboard-view/v3-html-dashboard-view.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,700 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/dashboard-view/v3-html-dashboard-view_en.ftl"): Not found
2019-09-10 13:09:31,705 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/dashboard-view/v3-html-dashboard-view.ftl"): Found
2019-09-10 13:09:31,705 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/dashboard-view/v3-html-dashboard-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/dashboard-view/v3-html-dashboard-view.ftl"
2019-09-10 13:09:31,735 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/logs-view/v3-html-testrunner-logs-view.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:09:31,736 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/logs-view/v3-html-testrunner-logs-view_en.ftl"): Not found
2019-09-10 13:09:31,737 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/logs-view/v3-html-testrunner-logs-view.ftl"): Found
2019-09-10 13:09:31,737 DEBUG [TestNG-tests-1] cache:45 - Loading template for "v3html/logs-view/v3-html-testrunner-logs-view.ftl"("en", UTF-8, parsed) from "jar:file:/C:/Users/neha/.m2/repository/com/aventstack/extentreports/4.0.9/extentreports-4.0.9.jar!/com/aventstack/extentreports/view/v3html/logs-view/v3-html-testrunner-logs-view.ftl"
2019-09-10 13:10:08,576  INFO [TestNG-tests-1] nopCommerceV123:20 - ********* starting TC_LoginTest_001 *************
2019-09-10 13:10:08,579  INFO [TestNG-tests-1] nopCommerceV123:21 - ********* Opening URL *************
2019-09-10 13:10:11,816  INFO [TestNG-tests-1] nopCommerceV123:26 - ********* Providing Login Details *************
2019-09-10 13:10:14,450  INFO [TestNG-tests-1] nopCommerceV123:31 - ********* Validating login with valid Credential *************
2019-09-10 13:10:14,892  INFO [TestNG-tests-1] nopCommerceV123:43 - ********* Login Test Is Failed *************
2019-09-10 13:10:15,712 DEBUG [TestNG-tests-1] cache:45 - Couldn't find template in cache for "v3html/v3-html-index.ftl"("en", UTF-8, parsed); will try to load it.
2019-09-10 13:10:15,714 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/v3-html-index_en.ftl"): Not found
2019-09-10 13:10:15,718 DEBUG [TestNG-tests-1] cache:45 - TemplateLoader.findTemplateSource("v3html/v3-html-index.ftl"): Found
